blank,EM40647,Port 1,Port 1,Port 1,Port 2,Port 2,Port 2,Port 3,Port 3,Port 3,Port 4,Port 4,Port 4,Port 5,Port 5,Port 5
blank,36866 records,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC,5TE Moisture/Temp/EC
Original Time,Measurement Time,m^3/m^3 VWC,C Temp,mS/cm EC Bulk,m^3/m^3 VWC,C Temp,mS/cm EC Bulk,m^3/m^3 VWC,C Temp,mS/cm EC Bulk,m^3/m^3 VWC,C Temp,mS/cm EC Bulk,m^3/m^3 VWC,C Temp,mS/cm EC Bulk
11/11/2021 1:00 PM,2021-11-11 13:00:00,0.028,0.8,0.00,0.025,-0.9,0.01,0.079,-1.7,0.00,0.032,2.3,0.00,0.016,2.3,0.00
11/11/2021 2:00 PM,2021-11-11 14:00:00,0.030,1.4,0.00,0.027,-0.6,0.00,0.081,-1.4,0.00,0.038,2.4,0.00,0.021,2.6,0.01
11/11/2021 3:00 PM,2021-11-11 15:00:00,0.031,1.8,0.00,0.028,-0.4,0.01,0.082,-1.1,0.00,0.045,3.2,0.00,0.024,3.6,0.01
11/11/2021 4:00 PM,2021-11-11 16:00:00,0.032,0.9,0.00,0.029,-0.3,0.01,0.083,-0.9,0.00,0.045,1.6,0.00,0.025,1.7,0.01
11/11/2021 5:00 PM,2021-11-11 17:00:00,0.032,0.3,0.00,0.030,-0.2,0.00,0.085,-0.7,0.00,0.044,0.6,0.00,0.025,0.9,0.00
11/11/2021 6:00 PM,2021-11-11 18:00:00,0.032,0.1,0.00,0.031,-0.2,0.01,0.085,-0.6,0.00,0.043,0.0,0.00,0.024,0.0,0.01
11/11/2021 7:00 PM,2021-11-11 19:00:00,0.031,-0.7,0.00,0.032,-0.2,0.01,0.086,-0.6,0.00,0.036,-0.7,0.00,0.022,-0.8,0.00
11/11/2021 8:00 PM,2021-11-11 20:00:00,0.030,-1.6,0.00,0.032,-0.3,0.01,0.086,-0.7,0.01,0.033,-1.5,0.00,0.020,-1.6,0.01
11/11/2021 9:00 PM,2021-11-11 21:00:00,0.030,-3.5,0.00,0.033,-0.7,0.01,0.086,-0.8,0.00,0.028,-3.6,0.00,0.016,-4.0,0.00
11/11/2021 10:00 PM,2021-11-11 22:00:00,0.028,-5.9,0.00,0.033,-1.6,0.01,0.084,-1.3,0.00,0.023,-6.3,0.00,0.012,-7.0,0.00
11/11/2021 11:00 PM,2021-11-11 23:00:00,0.027,-6.3,0.00,0.031,-2.3,0.01,0.081,-1.9,0.00,0.022,-6.5,0.00,0.010,-7.4,0.01
11/12/2021 12:00 AM,2021-11-12 00:00:00,0.027,-5.2,0.00,0.029,-2.4,0.00,0.080,-2.2,0.00,0.022,-5.3,0.00,0.010,-6.1,0.00
11/12/2021 1:00 AM,2021-11-12 01:00:00,0.027,-4.7,0.00,0.029,-2.4,0.01,0.080,-2.5,0.00,0.022,-4.7,0.00,0.010,-5.4,0.00
11/12/2021 2:00 AM,2021-11-12 02:00:00,0.028,-3.5,0.00,0.028,-2.1,0.01,0.079,-2.4,0.00,0.022,-3.5,0.00,0.011,-4.0,0.00
11/12/2021 3:00 AM,2021-11-12 03:00:00,0.028,-2.9,0.00,0.028,-1.9,0.01,0.079,-2.2,0.00,0.023,-2.9,0.00,0.011,-3.2,0.00
11/12/2021 4:00 AM,2021-11-12 04:00:00,0.028,-2.5,0.00,0.027,-1.7,0.01,0.080,-2.1,0.00,0.023,-2.3,0.00,0.012,-2.5,0.00
11/12/2021 5:00 AM,2021-11-12 05:00:00,0.029,-1.1,0.00,0.025,-1.2,0.01,0.080,-1.8,0.00,0.028,-0.9,0.00,0.013,-1.0,0.00
11/12/2021 6:00 AM,2021-11-12 06:00:00,0.030,-1.3,0.00,0.026,-1.0,0.01,0.081,-1.5,0.00,0.028,-1.2,0.00,0.014,-1.3,0.00
11/12/2021 7:00 AM,2021-11-12 07:00:00,0.030,-1.3,0.00,0.026,-1.0,0.01,0.081,-1.4,0.00,0.028,-1.3,0.00,0.015,-1.3,0.00
11/12/2021 8:00 AM,2021-11-12 08:00:00,0.029,-2.1,0.00,0.027,-1.1,0.01,0.081,-1.4,0.00,0.026,-2.3,0.00,0.014,-2.6,0.00
11/12/2021 9:00 AM,2021-11-12 09:00:00,0.030,-1.0,0.00,0.026,-1.1,0.00,0.082,-1.4,0.00,0.028,-1.0,0.00,0.014,-1.1,0.00
11/12/2021 10:00 AM,2021-11-12 10:00:00,0.033,1.9,0.00,0.028,-0.7,0.00,0.082,-1.2,0.00,0.038,1.7,0.00,0.020,1.8,0.01
11/12/2021 11:00 AM,2021-11-12 11:00:00,0.034,3.5,0.00,0.030,-0.3,0.01,0.083,-0.9,0.01,0.046,3.6,0.00,0.026,4.4,0.01
11/12/2021 12:00 PM,2021-11-12 12:00:00,0.038,6.9,0.00,0.032,0.1,0.01,0.085,-0.6,0.00,0.058,7.4,0.00,0.031,8.1,0.00
11/12/2021 1:00 PM,2021-11-12 13:00:00,0.039,7.0,0.00,0.038,1.1,0.01,0.087,-0.4,0.01,0.071,7.2,0.00,0.032,8.0,0.00
11/12/2021 2:00 PM,2021-11-12 14:00:00,0.039,9.2,0.00,0.046,2.2,0.01,0.090,-0.1,0.00,0.078,10.3,0.00,0.033,10.8,0.00
11/12/2021 3:00 PM,2021-11-12 15:00:00,0.040,11.6,0.00,0.049,3.1,0.01,0.098,0.4,0.01,0.078,13.2,0.00,0.033,11.8,0.00
11/12/2021 4:00 PM,2021-11-12 16:00:00,0.039,9.8,0.00,0.049,3.8,0.01,0.117,1.3,0.01,0.074,11.1,0.00,0.032,10.7,0.00
11/12/2021 5:00 PM,2021-11-12 17:00:00,0.039,9.9,0.00,0.049,4.0,0.01,0.125,1.8,0.03,0.072,10.7,0.00,0.032,9.9,0.00
11/12/2021 6:00 PM,2021-11-12 18:00:00,0.038,6.7,0.00,0.049,3.6,0.01,0.125,2.1,0.02,0.070,6.4,0.00,0.031,6.3,0.00
11/12/2021 7:00 PM,2021-11-12 19:00:00,0.038,5.8,0.00,0.048,3.0,0.01,0.125,1.9,0.03,0.069,5.6,0.00,0.030,5.2,0.00
11/12/2021 8:00 PM,2021-11-12 20:00:00,0.038,6.1,0.00,0.048,2.9,0.01,0.125,1.9,0.03,0.069,5.5,0.00,0.030,5.2,0.00
11/12/2021 9:00 PM,2021-11-12 21:00:00,0.037,5.0,0.00,0.048,2.7,0.01,0.125,2.0,0.04,0.068,4.3,0.00,0.030,4.0,0.00
11/12/2021 10:00 PM,2021-11-12 22:00:00,0.037,4.9,0.00,0.048,2.6,0.01,0.125,2.1,0.03,0.067,4.0,0.00,0.029,3.7,0.00
11/12/2021 11:00 PM,2021-11-12 23:00:00,0.038,5.5,0.00,0.048,2.8,0.01,0.125,2.2,0.03,0.067,5.2,0.00,0.030,4.9,0.00
11/13/2021 12:00 AM,2021-11-13 00:00:00,0.037,4.9,0.00,0.048,2.8,0.01,0.125,2.4,0.03,0.067,4.3,0.00,0.029,4.2,0.00
11/13/2021 1:00 AM,2021-11-13 01:00:00,0.038,5.9,0.00,0.048,2.7,0.01,0.125,2.4,0.03,0.066,5.4,0.00,0.029,5.1,0.01
11/13/2021 2:00 AM,2021-11-13 02:00:00,0.037,6.2,0.00,0.048,3.0,0.01,0.125,2.6,0.03,0.066,5.7,0.00,0.029,5.5,0.00
11/13/2021 3:00 AM,2021-11-13 03:00:00,0.036,5.4,0.00,0.048,3.2,0.01,0.125,2.8,0.03,0.065,4.7,0.00,0.029,4.5,0.00
11/13/2021 4:00 AM,2021-11-13 04:00:00,0.036,4.1,0.00,0.048,2.7,0.01,0.125,2.6,0.02,0.065,3.5,0.00,0.028,2.9,0.00
11/13/2021 5:00 AM,2021-11-13 05:00:00,0.036,2.4,0.00,0.048,2.2,0.01,0.125,2.2,0.03,0.064,1.5,0.00,0.028,1.1,0.00
11/13/2021 6:00 AM,2021-11-13 06:00:00,0.035,-0.2,0.00,0.047,1.2,0.01,0.125,1.4,0.03,0.063,-1.2,0.00,0.027,-1.4,0.00
11/13/2021 7:00 AM,2021-11-13 07:00:00,0.035,0.2,0.00,0.047,0.7,0.01,0.125,0.9,0.03,0.064,0.0,0.00,0.026,-1.5,0.01
11/13/2021 8:00 AM,2021-11-13 08:00:00,0.035,0.0,0.00,0.047,0.6,0.01,0.125,0.6,0.03,0.063,-0.5,0.00,0.026,-1.2,0.01
11/13/2021 9:00 AM,2021-11-13 09:00:00,0.035,0.5,0.00,0.046,0.5,0.01,0.125,0.5,0.04,0.063,-0.4,0.00,0.026,-0.6,0.00
11/13/2021 10:00 AM,2021-11-13 10:00:00,0.039,8.9,0.00,0.046,0.5,0.01,0.125,0.4,0.04,0.067,5.4,0.00,0.030,8.6,0.00
11/13/2021 11:00 AM,2021-11-13 11:00:00,0.039,13.5,0.00,0.048,2.6,0.01,0.125,1.1,0.03,0.066,10.9,0.00,0.030,12.7,0.00
11/13/2021 12:00 PM,2021-11-13 12:00:00,0.040,20.4,0.00,0.052,6.4,0.01,0.126,3.9,0.04,0.067,19.0,0.00,0.030,15.9,0.00
11/13/2021 1:00 PM,2021-11-13 13:00:00,0.040,23.3,0.00,0.055,9.8,0.01,0.126,6.8,0.04,0.068,24.1,0.00,0.029,18.6,0.00
11/13/2021 2:00 PM,2021-11-13 14:00:00,0.036,12.5,0.00,0.056,9.3,0.01,0.126,8.0,0.04,0.063,12.8,0.00,0.027,12.6,0.00
11/13/2021 3:00 PM,2021-11-13 15:00:00,0.036,13.5,0.00,0.056,8.7,0.01,0.127,8.1,0.04,0.064,14.8,0.00,0.027,12.4,0.00
11/13/2021 4:00 PM,2021-11-13 16:00:00,0.034,10.1,0.00,0.056,8.0,0.01,0.126,7.8,0.05,0.062,10.3,0.00,0.026,9.5,0.00
11/13/2021 5:00 PM,2021-11-13 17:00:00,0.034,7.3,0.00,0.056,6.9,0.01,0.126,7.1,0.04,0.061,7.1,0.00,0.025,6.8,0.00
11/13/2021 6:00 PM,2021-11-13 18:00:00,0.033,4.0,0.00,0.055,5.6,0.01,0.125,6.1,0.04,0.059,3.4,0.00,0.024,2.9,0.00
11/13/2021 7:00 PM,2021-11-13 19:00:00,0.032,0.3,0.00,0.053,3.6,0.01,0.125,4.4,0.04,0.057,-0.6,0.00,0.023,-1.2,0.00
11/13/2021 8:00 PM,2021-11-13 20:00:00,0.032,0.7,0.00,0.053,2.6,0.01,0.125,3.0,0.03,0.057,-0.1,0.00,0.023,-0.8,0.00
11/13/2021 9:00 PM,2021-11-13 21:00:00,0.033,1.7,0.00,0.052,2.1,0.01,0.125,2.3,0.03,0.058,1.2,0.00,0.024,0.2,0.00
11/13/2021 10:00 PM,2021-11-13 22:00:00,0.033,1.1,0.00,0.052,2.0,0.01,0.125,1.9,0.04,0.057,0.5,0.00,0.024,-0.3,0.00
11/13/2021 11:00 PM,2021-11-13 23:00:00,0.033,2.6,0.00,0.052,2.1,0.01,0.125,1.7,0.03,0.058,2.2,0.00,0.025,1.7,0.00
11/14/2021 12:00 AM,2021-11-14 00:00:00,0.033,4.1,0.00,0.052,2.3,0.01,0.125,1.8,0.02,0.058,3.4,0.00,0.025,2.8,0.00
11/14/2021 1:00 AM,2021-11-14 01:00:00,0.033,3.9,0.00,0.052,2.6,0.01,0.125,2.1,0.03,0.058,3.5,0.00,0.025,3.1,0.00
11/14/2021 2:00 AM,2021-11-14 02:00:00,0.033,5.0,0.00,0.052,2.8,0.01,0.125,2.4,0.04,0.058,4.4,0.00,0.025,4.1,0.00
11/14/2021 3:00 AM,2021-11-14 03:00:00,0.033,5.6,0.00,0.052,3.0,0.01,0.125,2.6,0.03,0.059,5.2,0.00,0.025,4.9,0.00
11/14/2021 4:00 AM,2021-11-14 04:00:00,0.034,6.1,0.00,0.052,3.4,0.01,0.125,2.9,0.03,0.059,5.5,0.00,0.025,5.3,0.00
11/14/2021 5:00 AM,2021-11-14 05:00:00,0.034,5.8,0.00,0.052,3.6,0.01,0.125,3.2,0.03,0.059,5.5,0.00,0.025,5.3,0.00
11/14/2021 6:00 AM,2021-11-14 06:00:00,0.034,6.0,0.00,0.049,3.7,0.01,0.125,3.4,0.03,0.059,5.3,0.00,0.025,5.2,0.00
11/14/2021 7:00 AM,2021-11-14 07:00:00,0.034,6.7,0.00,0.050,3.9,0.01,0.125,3.6,0.03,0.059,6.0,0.00,0.026,6.0,0.00
11/14/2021 8:00 AM,2021-11-14 08:00:00,0.034,7.0,0.00,0.051,4.1,0.01,0.125,3.8,0.04,0.059,6.5,0.00,0.026,6.4,0.00
11/14/2021 9:00 AM,2021-11-14 09:00:00,0.034,7.1,0.00,0.051,4.3,0.01,0.125,4.1,0.03,0.059,6.7,0.00,0.025,6.3,0.00
11/14/2021 10:00 AM,2021-11-14 10:00:00,0.035,9.1,0.00,0.051,4.7,0.01,0.125,4.4,0.04,0.060,8.8,0.00,0.026,8.8,0.00
11/14/2021 11:00 AM,2021-11-14 11:00:00,0.035,11.0,0.00,0.052,5.9,0.01,0.125,5.2,0.04,0.060,10.1,0.00,0.026,10.7,0.00
11/14/2021 12:00 PM,2021-11-14 12:00:00,0.035,13.0,0.00,0.053,6.9,0.01,0.125,6.1,0.04,0.061,12.4,0.00,0.026,13.1,0.00
11/14/2021 1:00 PM,2021-11-14 13:00:00,0.036,19.9,0.00,0.055,9.0,0.01,0.126,7.6,0.04,0.064,19.6,0.00,0.027,17.7,0.00
11/14/2021 2:00 PM,2021-11-14 14:00:00,0.035,17.7,0.00,0.056,10.5,0.01,0.126,9.2,0.04,0.062,17.7,0.00,0.026,17.2,0.00
11/14/2021 3:00 PM,2021-11-14 15:00:00,0.034,15.0,0.00,0.056,9.9,0.01,0.126,9.5,0.04,0.061,15.3,0.00,0.024,14.9,0.00
11/14/2021 4:00 PM,2021-11-14 16:00:00,0.034,15.4,0.00,0.057,9.9,0.01,0.126,9.6,0.04,0.061,16.2,0.00,0.023,14.0,0.00
11/14/2021 5:00 PM,2021-11-14 17:00:00,0.033,12.7,0.00,0.056,9.0,0.01,0.126,9.1,0.04,0.059,12.6,0.00,0.023,11.6,0.00
11/14/2021 6:00 PM,2021-11-14 18:00:00,0.032,9.1,0.00,0.055,7.7,0.01,0.125,8.2,0.04,0.057,8.5,0.00,0.022,7.5,0.00
11/14/2021 7:00 PM,2021-11-14 19:00:00,0.032,7.7,0.00,0.055,6.5,0.01,0.125,7.1,0.04,0.057,6.9,0.00,0.022,6.1,0.00
11/14/2021 8:00 PM,2021-11-14 20:00:00,0.032,6.7,0.00,0.055,5.7,0.01,0.125,6.2,0.04,0.056,5.8,0.00,0.021,4.7,0.00
11/14/2021 9:00 PM,2021-11-14 21:00:00,0.032,7.0,0.00,0.054,5.2,0.01,0.125,5.4,0.04,0.057,6.7,0.00,0.021,5.0,0.00
11/14/2021 10:00 PM,2021-11-14 22:00:00,0.032,6.5,0.00,0.054,4.9,0.01,0.125,5.0,0.04,0.056,5.8,0.00,0.021,4.3,0.00
11/14/2021 11:00 PM,2021-11-14 23:00:00,0.032,6.7,0.00,0.054,4.6,0.01,0.125,4.6,0.04,0.056,5.7,0.00,0.021,4.8,0.00
11/15/2021 12:00 AM,2021-11-15 00:00:00,0.031,5.9,0.00,0.054,4.3,0.01,0.124,4.3,0.04,0.056,5.0,0.00,0.021,4.0,0.00
11/15/2021 1:00 AM,2021-11-15 01:00:00,0.031,5.6,0.00,0.053,3.8,0.01,0.124,3.8,0.04,0.056,4.6,0.00,0.021,3.9,0.00
11/15/2021 2:00 AM,2021-11-15 02:00:00,0.031,4.6,0.00,0.053,3.6,0.01,0.124,3.5,0.04,0.055,3.6,0.00,0.021,3.0,0.00
11/15/2021 3:00 AM,2021-11-15 03:00:00,0.031,5.5,0.00,0.053,3.5,0.01,0.124,3.3,0.03,0.056,4.7,0.00,0.021,3.5,0.00
11/15/2021 4:00 AM,2021-11-15 04:00:00,0.031,4.4,0.00,0.053,3.0,0.01,0.124,2.9,0.04,0.055,3.4,0.00,0.021,2.5,0.00
11/15/2021 5:00 AM,2021-11-15 05:00:00,0.031,4.7,0.00,0.053,2.6,0.01,0.124,2.5,0.03,0.055,4.3,0.00,0.021,2.5,0.00
11/15/2021 6:00 AM,2021-11-15 06:00:00,0.031,4.1,0.00,0.053,2.5,0.01,0.124,2.3,0.03,0.054,2.8,0.00,0.021,2.0,0.00
11/15/2021 7:00 AM,2021-11-15 07:00:00,0.031,4.1,0.00,0.053,2.4,0.01,0.124,2.1,0.03,0.054,2.8,0.00,0.021,2.2,0.00
11/15/2021 8:00 AM,2021-11-15 08:00:00,0.030,3.9,0.00,0.053,2.2,0.01,0.124,1.9,0.03,0.054,2.9,0.00,0.021,2.8,0.00
11/15/2021 9:00 AM,2021-11-15 09:00:00,0.030,3.1,0.00,0.052,1.7,0.01,0.123,1.6,0.03,0.054,1.9,0.00,0.021,1.7,0.00
11/15/2021 10:00 AM,2021-11-15 10:00:00,0.033,14.3,0.00,0.052,2.5,0.01,0.123,1.7,0.03,0.056,10.5,0.00,0.023,13.2,0.00
11/15/2021 11:00 AM,2021-11-15 11:00:00,0.033,14.5,0.00,0.053,4.8,0.01,0.124,3.3,0.03,0.056,12.9,0.00,0.022,14.2,0.00
11/15/2021 12:00 PM,2021-11-15 12:00:00,0.032,13.8,0.00,0.055,6.3,0.01,0.124,5.0,0.04,0.056,13.4,0.00,0.022,14.3,0.00
11/15/2021 1:00 PM,2021-11-15 13:00:00,0.034,20.1,0.00,0.055,7.7,0.01,0.125,6.5,0.04,0.058,19.8,0.00,0.022,18.7,0.00
11/15/2021 2:00 PM,2021-11-15 14:00:00,0.033,22.5,0.00,0.057,10.4,0.01,0.125,8.8,0.04,0.059,22.1,0.00,0.021,21.1,0.00
11/15/2021 3:00 PM,2021-11-15 15:00:00,0.032,21.2,0.00,0.058,11.3,0.01,0.125,10.4,0.04,0.058,21.6,0.00,0.020,19.3,0.00
11/15/2021 4:00 PM,2021-11-15 16:00:00,0.030,14.1,0.00,0.058,10.3,0.01,0.125,10.3,0.04,0.055,14.0,0.00,0.019,13.4,0.00
11/15/2021 5:00 PM,2021-11-15 17:00:00,0.029,11.8,0.00,0.057,9.0,0.01,0.125,9.4,0.04,0.054,11.3,0.00,0.018,10.1,0.00
11/15/2021 6:00 PM,2021-11-15 18:00:00,0.029,8.6,0.00,0.056,7.6,0.01,0.125,8.3,0.04,0.053,7.2,0.00,0.017,6.5,0.00
11/15/2021 7:00 PM,2021-11-15 19:00:00,0.028,7.0,0.00,0.055,6.3,0.01,0.124,7.0,0.04,0.052,5.3,0.00,0.017,4.0,0.00
11/15/2021 8:00 PM,2021-11-15 20:00:00,0.029,7.4,0.00,0.055,5.7,0.01,0.124,6.1,0.04,0.052,6.2,0.00,0.017,4.7,0.00
11/15/2021 9:00 PM,2021-11-15 21:00:00,0.029,9.6,0.00,0.055,5.6,0.01,0.124,5.6,0.04,0.053,9.3,0.00,0.018,7.8,0.00
11/15/2021 10:00 PM,2021-11-15 22:00:00,0.028,8.8,0.00,0.055,6.0,0.01,0.123,5.9,0.04,0.053,8.4,0.00,0.018,7.3,0.00
11/15/2021 11:00 PM,2021-11-15 23:00:00,0.028,7.6,0.00,0.055,6.0,0.01,0.123,6.0,0.04,0.052,7.4,0.00,0.017,6.4,0.00
11/16/2021 12:00 AM,2021-11-16 00:00:00,0.028,6.7,0.00,0.054,5.5,0.01,0.123,5.6,0.04,0.051,6.3,0.00,0.017,4.8,0.00
11/16/2021 1:00 AM,2021-11-16 01:00:00,0.028,6.8,0.00,0.054,5.2,0.01,0.123,5.2,0.04,0.051,6.4,0.00,0.018,5.6,0.00
11/16/2021 2:00 AM,2021-11-16 02:00:00,0.029,3.9,0.00,0.048,5.0,0.01,0.123,5.0,0.04,0.068,3.7,0.00,0.021,3.4,0.00
11/16/2021 3:00 AM,2021-11-16 03:00:00,0.029,2.1,0.00,0.047,4.2,0.01,0.123,4.4,0.03,0.066,1.6,0.00,0.021,1.2,0.00
11/16/2021 4:00 AM,2021-11-16 04:00:00,0.029,0.8,0.00,0.045,3.3,0.01,0.123,3.5,0.03,0.063,0.2,0.00,0.021,0.0,0.00
11/16/2021 5:00 AM,2021-11-16 05:00:00,0.028,-0.5,0.00,0.045,2.5,0.01,0.123,2.8,0.03,0.056,-1.1,0.00,0.020,-1.7,0.00
11/16/2021 6:00 AM,2021-11-16 06:00:00,0.028,-2.0,0.00,0.045,1.3,0.01,0.123,1.7,0.02,0.050,-2.8,0.00,0.019,-3.8,0.01
11/16/2021 7:00 AM,2021-11-16 07:00:00,0.028,-3.4,0.00,0.046,0.6,0.01,0.123,1.1,0.02,0.047,-4.3,0.00,0.019,-5.2,0.00
11/16/2021 8:00 AM,2021-11-16 08:00:00,0.027,-4.7,0.00,0.046,-0.1,0.01,0.122,0.7,0.03,0.044,-5.5,0.00,0.016,-6.4,0.00
11/16/2021 9:00 AM,2021-11-16 09:00:00,0.028,-4.6,0.00,0.045,-0.6,0.01,0.122,0.4,0.03,0.040,-5.3,0.00,0.013,-6.1,0.00
11/16/2021 10:00 AM,2021-11-16 10:00:00,#N/A,#N/A,#N/A,0.041,-0.6,0.01,0.121,0.2,0.02,0.044,1.7,0.00,0.018,5.0,0.00
11/16/2021 11:00 AM,2021-11-16 11:00:00,#N/A,#N/A,#N/A,0.041,0.1,0.01,0.121,0.1,0.03,0.056,5.7,0.00,0.023,10.1,0.00
11/16/2021 12:00 PM,2021-11-16 12:00:00,#N/A,#N/A,#N/A,0.046,0.8,0.01,0.121,0.2,0.03,0.052,8.4,0.00,0.020,4.9,0.00
11/16/2021 1:00 PM,2021-11-16 13:00:00,#N/A,#N/A,#N/A,0.049,1.6,0.01,0.121,0.2,0.03,0.050,5.9,0.00,0.019,2.6,0.00
11/16/2021 2:00 PM,2021-11-16 14:00:00,#N/A,#N/A,#N/A,0.053,6.1,0.01,0.121,1.4,0.03,0.053,16.0,0.00,0.020,8.8,0.00
11/16/2021 3:00 PM,2021-11-16 15:00:00,#N/A,#N/A,#N/A,0.054,5.3,0.01,0.122,2.6,0.03,0.050,4.5,0.00,0.018,1.2,0.00
11/16/2021 4:00 PM,2021-11-16 16:00:00,#N/A,#N/A,#N/A,0.054,4.9,0.01,0.122,2.9,0.03,0.050,6.8,0.00,0.018,2.9,0.00
11/16/2021 5:00 PM,2021-11-16 17:00:00,#N/A,#N/A,#N/A,0.054,3.7,0.01,0.122,2.5,0.03,0.049,2.0,0.00,0.018,0.8,0.00
11/16/2021 6:00 PM,2021-11-16 18:00:00,#N/A,#N/A,#N/A,0.054,1.6,0.01,0.121,1.5,0.02,0.049,-4.1,0.00,0.016,-5.1,0.00
11/16/2021 7:00 PM,2021-11-16 19:00:00,#N/A,#N/A,#N/A,0.053,0.7,0.01,0.121,0.8,0.03,0.049,-2.9,0.00,0.016,-3.7,0.00
11/16/2021 8:00 PM,2021-11-16 20:00:00,#N/A,#N/A,#N/A,0.053,0.5,0.01,0.121,0.6,0.03,0.049,-2.8,0.00,0.016,-3.5,0.00
11/16/2021 9:00 PM,2021-11-16 21:00:00,#N/A,#N/A,#N/A,0.053,0.3,0.01,0.121,0.4,0.03,0.048,-2.9,0.00,0.015,-3.5,0.00
11/16/2021 10:00 PM,2021-11-16 22:00:00,#N/A,#N/A,#N/A,0.052,0.1,0.01,0.121,0.3,0.02,0.046,-2.9,0.00,0.014,-3.4,0.00
11/16/2021 11:00 PM,2021-11-16 23:00:00,#N/A,#N/A,#N/A,0.050,-0.1,0.01,0.121,0.2,0.03,0.042,-3.9,0.00,0.013,-4.4,0.00
11/17/2021 12:00 AM,2021-11-17 00:00:00,#N/A,#N/A,#N/A,0.048,-0.2,0.01,0.121,0.1,0.02,0.040,-3.7,0.00,0.013,-4.3,0.01
11/17/2021 1:00 AM,2021-11-17 01:00:00,#N/A,#N/A,#N/A,0.048,-0.3,0.01,0.120,0.0,0.03,0.038,-5.7,0.00,0.011,-6.3,0.00
11/17/2021 2:00 AM,2021-11-17 02:00:00,#N/A,#N/A,#N/A,0.047,-0.9,0.01,0.119,-0.2,0.03,0.031,-7.4,0.00,0.009,-8.7,0.01
11/17/2021 3:00 AM,2021-11-17 03:00:00,#N/A,#N/A,#N/A,0.044,-0.9,0.00,0.116,-0.3,0.03,0.029,-6.0,0.00,0.009,-6.6,0.00
11/17/2021 4:00 AM,2021-11-17 04:00:00,#N/A,#N/A,#N/A,0.043,-1.5,0.01,0.109,-0.6,0.02,0.025,-10.0,0.01,0.007,-11.2,0.01
11/17/2021 5:00 AM,2021-11-17 05:00:00,#N/A,#N/A,#N/A,0.039,-1.8,0.00,0.100,-0.9,0.01,0.023,-9.6,0.01,0.007,-10.6,0.01
11/17/2021 6:00 AM,2021-11-17 06:00:00,#N/A,#N/A,#N/A,0.036,-2.4,0.01,0.091,-1.3,0.00,0.022,-11.5,0.01,0.005,-12.7,0.01
11/17/2021 7:00 AM,2021-11-17 07:00:00,#N/A,#N/A,#N/A,0.034,-2.9,0.01,0.086,-1.9,0.01,0.021,-12.7,0.01,0.005,-14.1,0.01
11/17/2021 8:00 AM,2021-11-17 08:00:00,#N/A,#N/A,#N/A,0.032,-3.4,0.00,0.082,-2.5,0.01,0.021,-13.5,0.01,0.004,-14.8,0.01
11/17/2021 9:00 AM,2021-11-17 09:00:00,#N/A,#N/A,#N/A,0.030,-3.8,0.00,0.079,-3.1,0.00,0.021,-13.3,0.01,0.004,-14.7,0.01
11/17/2021 10:00 AM,2021-11-17 10:00:00,#N/A,#N/A,#N/A,0.028,-3.2,0.01,0.078,-3.4,0.01,0.022,-1.6,0.00,0.010,3.7,0.00
11/17/2021 11:00 AM,2021-11-17 11:00:00,#N/A,#N/A,#N/A,0.023,-1.7,0.01,0.078,-2.9,0.00,0.025,3.1,0.00,0.016,11.0,0.00
11/17/2021 12:00 PM,2021-11-17 12:00:00,#N/A,#N/A,#N/A,0.026,-0.6,0.01,0.079,-1.9,0.00,0.035,10.6,0.00,0.019,6.6,0.00
11/17/2021 1:00 PM,2021-11-17 13:00:00,#N/A,#N/A,#N/A,0.034,0.9,0.01,0.082,-1.0,0.00,0.048,14.2,0.00,0.020,7.2,0.00
11/17/2021 2:00 PM,2021-11-17 14:00:00,#N/A,#N/A,#N/A,0.049,3.2,0.01,0.086,-0.5,0.01,0.055,18.4,0.00,0.021,6.1,0.00
11/17/2021 3:00 PM,2021-11-17 15:00:00,#N/A,#N/A,#N/A,0.052,3.7,0.01,0.089,-0.1,0.01,0.054,15.9,0.00,0.020,3.8,0.00
11/17/2021 4:00 PM,2021-11-17 16:00:00,#N/A,#N/A,#N/A,0.052,2.7,0.01,0.094,0.0,0.00,0.051,8.6,0.00,0.019,2.6,0.00
11/17/2021 5:00 PM,2021-11-17 17:00:00,#N/A,#N/A,#N/A,0.052,1.5,0.01,0.095,-0.1,0.01,0.048,0.3,0.00,0.016,-2.2,0.00
11/17/2021 6:00 PM,2021-11-17 18:00:00,#N/A,#N/A,#N/A,0.053,0.2,0.01,0.096,-0.1,0.01,0.043,-5.4,0.00,0.010,-6.4,0.00
11/17/2021 7:00 PM,2021-11-17 19:00:00,#N/A,#N/A,#N/A,0.053,-0.6,0.01,0.097,-0.1,0.01,0.033,-8.2,0.01,0.006,-9.7,0.01
